CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc,Energy
Al1Au1_AlAg_sym11_4_0,1_Neigh,11,False,False,-3.895
Al1Au1_GaAu_sym11_8_0,1_Neigh,11,False,False,-3.889
Al1Au1_GaAu_sym62_0_0,1_Neigh,62,True,False,-3.888
Al1Au1_GaAg_sym11_2_0,1_Neigh,11,False,False,-3.88
Al1Au1_GaAu_sym2_9_0,1_Neigh,2,True,False,-3.863
Al1Au1_AlAg_sym12_5_0,1_Neigh,12,False,False,-3.862
Al1Au1_GaAu_sym12_10_0,1_Neigh,12,False,False,-3.861
Al1Au1_AlAg_sym11_6_0,1_Neigh,11,False,True,-3.854
Al1Au1_AlAg_sym166_0_0,1_Neigh,166,False,False,-3.847
Al1Au1_GaAu_sym166_2_0,1_Neigh,166,False,False,-3.844
Al1Au1_AlAg_sym187_2_0,1_Neigh,187,False,False,-3.842
Al1Au1_GaAu_sym225_4_0,1_Neigh,225,False,False,-3.839
Al1Au1_GaAg_sym59_3_0,1_Neigh,59,True,True,-3.829
Al1Au1_AlAg_sym166_3_0,1_Neigh,166,False,True,-3.829
Al1Au1_GaAg_sym187_1_0,1_Neigh,187,False,False,-3.828
Al1Au1_AlAg_sym51_1_0,1_Neigh,51,False,False,-3.823
Al1Au1_GaAg_sym166_0_0,1_Neigh,166,False,False,-3.818
Al1Au1_AlAg_sym51_7_0,1_Neigh,51,False,False,-3.816
Al1Au1_GaAu_sym123_3_0,1_Neigh,123,False,False,-3.806
Al1Au1_GaAu_sym216_5_0,1_Neigh,216,False,False,-3.799
Al1Au1_GaAu_sym221_7_0,1_Neigh,221,False,False,-3.794
Al1Au1_GaAu_sym221_1_0,1_Neigh,221,False,False,-3.792
Al1Au1_GaAu_sym187_6_0,1_Neigh,187,False,False,-3.784
Al1Au1_InAu_sym194_5_0,2_Neigh,194,True,True,-3.773
Al1Au1_InCu_sym191_0_0,2_Neigh,191,True,True,-3.77
Al1Au1_MgGa_sym51_50_0,3_Neigh,51,False,False,-3.754
Al1Au1_MgGa_sym221_54_0,3_Neigh,221,False,False,-3.747
Al1Au1_MgGa_sym221_55_0,3_Neigh,221,False,False,-3.747
Al1Au1_MgGa_sym123_31_0,3_Neigh,123,False,False,-3.747
Al1Au1_MgGa_sym221_29_0,3_Neigh,221,False,False,-3.745
Al1Au1_MgGa_sym51_49_0,3_Neigh,51,False,False,-3.744
Al1Au1_MgGa_sym51_53_0,3_Neigh,51,False,False,-3.744
Al1Au1_InAu_sym194_7_0,2_Neigh,194,True,True,-3.743
Al1Au1_MgGa_sym51_52_0,3_Neigh,51,False,False,-3.743
Al1Au1_MgGa_sym12_6_0,3_Neigh,12,False,True,-3.741
Al1Au1_MgGa_sym12_20_0,3_Neigh,12,False,True,-3.741
Al1Au1_MgGa_sym166_30_0,3_Neigh,166,False,False,-3.739
Al1Au1_MgGa_sym38_7_0,3_Neigh,38,True,True,-3.727
Al1Au1_MgGa_sym62_41_0,3_Neigh,62,True,True,-3.722
Al1Au1_MgAl_sym123_0_0,3_Neigh,123,False,False,-3.718
Al1Au1_MgGa_sym38_21_0,3_Neigh,38,True,True,-3.716
Al1Au1_MgGa_sym88_0_0,3_Neigh,88,True,True,-3.714
Al1Au1_MgGa_sym59_51_0,3_Neigh,59,True,True,-3.713
Al1Au1_MgGa_sym8_25_0,3_Neigh,8,True,True,-3.711
Al1Au1_InAu_sym194_6_0,2_Neigh,194,True,True,-3.71
Al1Au1_InAu_sym11_10_0,2_Neigh,11,False,False,-3.71
Al1Au1_MgGa_sym5_4_0,3_Neigh,5,True,True,-3.708
Al1Au1_MgGa_sym5_18_0,3_Neigh,5,True,True,-3.708
Al1Au1_MgGa_sym8_11_0,3_Neigh,8,True,True,-3.708
Al1Au1_MgGa_sym59_10_0,3_Neigh,59,True,True,-3.708
Al1Au1_MgGa_sym187_27_0,3_Neigh,187,False,False,-3.707
Al1Au1_MgGa_sym59_24_0,3_Neigh,59,True,True,-3.706
Al1Au1_MgGa_sym187_13_0,3_Neigh,187,False,False,-3.706
Al1Au1_MgGa_sym57_44_0,3_Neigh,57,True,True,-3.7
Al1Au1_MgGa_sym187_43_0,3_Neigh,187,False,False,-3.699
Al1Au1_MgGa_sym38_1_0,3_Neigh,38,True,True,-3.692
Al1Au1_MgGa_sym38_15_0,3_Neigh,38,True,True,-3.692
Al1Au1_MgGa_sym26_46_0,3_Neigh,26,True,True,-3.69
Al1Au1_MgGa_sym59_45_0,3_Neigh,59,True,True,-3.689
Al1Au1_MgGa_sym6_39_0,3_Neigh,6,True,True,-3.688
Al1Au1_GaCu_sym187_1_0,2_Neigh,187,False,False,-3.686
Al1Au1_InAg_sym191_0_0,2_Neigh,191,True,True,-3.686
Al1Au1_MgGa_sym26_34_0,3_Neigh,26,True,True,-3.681
Al1Au1_MgGa_sym59_36_0,3_Neigh,59,True,True,-3.68
Al1Au1_MgGa_sym6_37_0,3_Neigh,6,True,True,-3.68
Al1Au1_MgGa_sym38_16_0,3_Neigh,38,True,True,-3.678
Al1Au1_MgGa_sym38_2_0,3_Neigh,38,True,True,-3.678
Al1Au1_MgGa_sym8_19_0,3_Neigh,8,True,True,-3.674
Al1Au1_MgGa_sym8_5_0,3_Neigh,8,True,True,-3.674
Al1Au1_InAu_sym225_3_0,2_Neigh,225,False,False,-3.673
Al1Au1_InAu_sym191_11_0,2_Neigh,191,True,True,-3.673
Al1Au1_MgGa_sym6_38_0,3_Neigh,6,True,True,-3.67
Al1Au1_InAu_sym63_8_0,2_Neigh,63,True,True,-3.669
Al1Au1_InAu_sym187_4_0,2_Neigh,187,False,False,-3.669
Al1Au1_MgGa_sym8_12_0,3_Neigh,8,True,True,-3.667
Al1Au1_GaCu_sym166_0_0,2_Neigh,166,False,False,-3.667
Al1Au1_MgGa_sym8_26_0,3_Neigh,8,True,True,-3.666
Al1Au1_MgGa_sym57_32_0,3_Neigh,57,True,True,-3.663
Al1Au1_InAu_sym166_1_0,2_Neigh,166,False,False,-3.662
Al1Au1_MgGa_sym6_33_0,3_Neigh,6,True,True,-3.66
Al1Au1_MgGa_sym59_35_0,3_Neigh,59,True,True,-3.657
Al1Au1_MgGa_sym25_48_0,3_Neigh,25,True,True,-3.655
Al1Au1_MgGa_sym6_47_0,3_Neigh,6,True,True,-3.654
Al1Au1_MgHg_sym51_49_0,3_Neigh,51,False,False,-3.653
Al1Au1_MgGa_sym187_40_0,3_Neigh,187,False,True,-3.652
Al1Au1_MgGa_sym38_22_0,3_Neigh,38,True,True,-3.637
Al1Au1_MgHg_sym225_52_0,3_Neigh,225,False,False,-3.636
Al1Au1_MgGa_sym38_8_0,3_Neigh,38,True,True,-3.636
Al1Au1_TlAu_sym194_0_0,3_Neigh,194,True,True,-3.636
Al1Au1_MgHg_sym221_55_0,3_Neigh,221,False,False,-3.633
Al1Au1_MgHg_sym221_56_0,3_Neigh,221,False,False,-3.633
Al1Au1_MgHg_sym221_0_0,3_Neigh,221,False,False,-3.628
Al1Au1_MgHg_sym221_15_0,3_Neigh,221,False,False,-3.627
Al1Au1_MgHg_sym62_43_0,3_Neigh,62,True,True,-3.618
Al1Au1_MgHg_sym57_46_0,3_Neigh,57,True,True,-3.618
Al1Au1_MgHg_sym123_32_0,3_Neigh,123,False,False,-3.611
Al1Au1_InAu_sym221_9_0,2_Neigh,221,False,False,-3.609
Al1Au1_MgGa_sym156_9_0,3_Neigh,156,True,True,-3.606
Al1Au1_AlCu_sym166_2_0,2_Neigh,166,False,False,-3.606
Al1Au1_MgHg_sym51_27_0,3_Neigh,51,False,False,-3.604
Al1Au1_MgHg_sym51_12_0,3_Neigh,51,False,False,-3.604
Al1Au1_MgGa_sym156_23_0,3_Neigh,156,True,True,-3.603
Al1Au1_MgHg_sym51_53_0,3_Neigh,51,False,False,-3.602
Al1Au1_GaCu_sym11_4_0,2_Neigh,11,False,False,-3.602
Al1Au1_MgHg_sym221_30_0,3_Neigh,221,False,False,-3.601
Al1Au1_MgHg_sym59_40_0,3_Neigh,59,True,True,-3.601
Al1Au1_InAu_sym123_2_0,2_Neigh,123,False,False,-3.6
Al1Au1_MgHg_sym187_45_0,3_Neigh,187,False,False,-3.593
Al1Au1_MgHg_sym12_20_0,3_Neigh,12,False,True,-3.589
Al1Au1_MgHg_sym12_5_0,3_Neigh,12,False,True,-3.588
Al1Au1_MgHg_sym59_24_0,3_Neigh,59,True,True,-3.581
Al1Au1_MgHg_sym8_25_0,3_Neigh,8,True,True,-3.58
Al1Au1_MgHg_sym8_10_0,3_Neigh,8,True,True,-3.579
Al1Au1_MgHg_sym59_9_0,3_Neigh,59,True,True,-3.578
Al1Au1_MgGa_sym59_42_0,3_Neigh,59,True,True,-3.577
Al1Au1_AlCu_sym187_5_0,2_Neigh,187,False,False,-3.577
Al1Au1_InAu_sym221_0_0,2_Neigh,221,False,False,-3.575
Al1Au1_MgHg_sym26_48_0,3_Neigh,26,True,True,-3.574
Al1Au1_MgHg_sym38_6_0,3_Neigh,38,True,True,-3.571
Al1Au1_MgHg_sym38_21_0,3_Neigh,38,True,True,-3.571
Al1Au1_MgHg_sym59_37_0,3_Neigh,59,True,True,-3.568
Al1Au1_MgHg_sym187_13_0,3_Neigh,187,False,False,-3.564
Al1Au1_MgHg_sym187_28_0,3_Neigh,187,False,False,-3.564
Al1Au1_MgHg_sym187_54_0,3_Neigh,187,False,False,-3.564
Al1Au1_MgHg_sym166_31_0,3_Neigh,166,False,False,-3.558
Al1Au1_MgHg_sym38_1_0,3_Neigh,38,True,True,-3.556
Al1Au1_MgHg_sym38_16_0,3_Neigh,38,True,True,-3.556
Al1Au1_MgHg_sym26_35_0,3_Neigh,26,True,True,-3.552
Al1Au1_MgHg_sym5_18_0,3_Neigh,5,True,True,-3.552
Al1Au1_MgGa_sym164_28_0,3_Neigh,164,True,True,-3.551
Al1Au1_MgHg_sym5_3_0,3_Neigh,5,True,True,-3.551
Al1Au1_MgGa_sym164_14_0,3_Neigh,164,True,True,-3.549
Al1Au1_MgHg_sym6_38_0,3_Neigh,6,True,True,-3.546
Al1Au1_AlCu_sym123_3_0,2_Neigh,123,False,False,-3.546
Al1Au1_MgHg_sym6_41_0,3_Neigh,6,True,True,-3.542
Al1Au1_MgHg_sym6_39_0,3_Neigh,6,True,True,-3.527
Al1Au1_AlCu_sym11_6_0,2_Neigh,11,False,False,-3.519
Al1Au1_MgHg_sym59_47_0,3_Neigh,59,True,True,-3.519
Al1Au1_MgHg_sym38_2_0,3_Neigh,38,True,True,-3.516
Al1Au1_MgHg_sym8_19_0,3_Neigh,8,True,True,-3.514
Al1Au1_MgHg_sym38_17_0,3_Neigh,38,True,True,-3.514
Al1Au1_MgHg_sym8_4_0,3_Neigh,8,True,True,-3.512
Al1Au1_MgHg_sym11_34_0,3_Neigh,11,False,True,-3.51
Al1Au1_MgHg_sym59_36_0,3_Neigh,59,True,True,-3.509
Al1Au1_MgHg_sym8_11_0,3_Neigh,8,True,True,-3.507
Al1Au1_MgHg_sym11_50_0,3_Neigh,11,False,True,-3.506
Al1Au1_MgHg_sym8_26_0,3_Neigh,8,True,True,-3.506
Al1Au1_MgGa_sym187_17_0,3_Neigh,187,False,True,-3.481
Al1Au1_MgGa_sym187_3_0,3_Neigh,187,False,True,-3.48
Al1Au1_MgHg_sym57_33_0,3_Neigh,57,True,True,-3.479
Al1Au1_MgHg_sym25_51_0,3_Neigh,25,True,True,-3.475
Al1Au1_AlCu_sym51_4_0,2_Neigh,51,False,False,-3.469
Al1Au1_MgHg_sym38_7_0,3_Neigh,38,True,True,-3.462
Al1Au1_MgHg_sym38_22_0,3_Neigh,38,True,True,-3.462
Al1Au1_AlCu_sym51_9_0,2_Neigh,51,False,False,-3.455
Al1Au1_TlAu_sym2_1_0,3_Neigh,2,True,True,-3.448
Al1Au1_MgHg_sym187_42_0,3_Neigh,187,False,True,-3.447
Al1Au1_MgHg_sym156_8_0,3_Neigh,156,True,True,-3.447
Al1Au1_MgHg_sym156_23_0,3_Neigh,156,True,True,-3.447
Al1Au1_MgHg_sym59_44_0,3_Neigh,59,True,True,-3.441
Al1Au1_GaCu_sym2_2_0,2_Neigh,2,True,False,-3.437
Al1Au1_AlCu_sym221_1_0,2_Neigh,221,False,False,-3.429
Al1Au1_GaCu_sym12_3_0,2_Neigh,12,False,False,-3.418
Al1Au1_MgHg_sym164_29_0,3_Neigh,164,True,True,-3.385
Al1Au1_MgHg_sym164_14_0,3_Neigh,164,True,True,-3.385
Al1Au1_MgIn_sym221_57_0,3_Neigh,221,False,False,-3.383
Al1Au1_MgIn_sym221_56_0,3_Neigh,221,False,False,-3.383
Al1Au1_MgIn_sym51_53_0,3_Neigh,51,False,False,-3.381
Al1Au1_MgIn_sym123_32_0,3_Neigh,123,False,False,-3.351
Al1Au1_MgIn_sym123_31_0,3_Neigh,123,False,False,-3.351
Al1Au1_MgIn_sym51_51_0,3_Neigh,51,False,False,-3.345
Al1Au1_MgIn_sym187_45_0,3_Neigh,187,False,False,-3.344
Al1Au1_MgIn_sym51_54_0,3_Neigh,51,False,False,-3.337
Al1Au1_MgIn_sym51_55_0,3_Neigh,51,False,False,-3.337
Al1Au1_AlCu_sym2_7_0,2_Neigh,2,True,False,-3.336
Al1Au1_MgIn_sym51_58_0,3_Neigh,51,False,False,-3.332
Al1Au1_MgTl_sym63_11_0,3_Neigh,63,True,True,-3.328
Al1Au1_MgIn_sym123_30_0,3_Neigh,123,False,False,-3.326
Al1Au1_MgIn_sym221_28_0,3_Neigh,221,False,False,-3.325
Al1Au1_MgIn_sym12_19_0,3_Neigh,12,False,True,-3.323
Al1Au1_MgIn_sym12_5_0,3_Neigh,12,False,True,-3.322
Al1Au1_MgIn_sym8_24_0,3_Neigh,8,True,True,-3.315
Al1Au1_MgIn_sym62_43_0,3_Neigh,62,True,True,-3.314
Al1Au1_AlCu_sym12_0_0,2_Neigh,12,False,False,-3.314
Al1Au1_MgIn_sym166_29_0,3_Neigh,166,False,False,-3.313
Al1Au1_MgIn_sym59_40_0,3_Neigh,59,True,True,-3.309
Al1Au1_MgIn_sym59_37_0,3_Neigh,59,True,True,-3.3
Al1Au1_GaCu_sym191_5_0,2_Neigh,191,True,True,-3.298
Al1Au1_MgIn_sym57_46_0,3_Neigh,57,True,True,-3.297
Al1Au1_MgIn_sym59_23_0,3_Neigh,59,True,True,-3.287
Al1Au1_MgIn_sym59_9_0,3_Neigh,59,True,True,-3.287
Al1Au1_MgTl_sym221_12_0,3_Neigh,221,False,False,-3.285
Al1Au1_MgTl_sym198_10_0,3_Neigh,198,True,True,-3.285
Al1Au1_MgTl_sym221_13_0,3_Neigh,221,False,False,-3.285
Al1Au1_MgIn_sym5_17_0,3_Neigh,5,True,True,-3.28
Al1Au1_MgIn_sym5_3_0,3_Neigh,5,True,True,-3.28
Al1Au1_MgIn_sym6_38_0,3_Neigh,6,True,True,-3.277
Al1Au1_MgTl_sym51_8_0,3_Neigh,51,False,False,-3.276
Al1Au1_MgIn_sym26_48_0,3_Neigh,26,True,True,-3.273
Al1Au1_MgIn_sym187_52_0,3_Neigh,187,False,False,-3.273
Al1Au1_MgIn_sym26_35_0,3_Neigh,26,True,True,-3.272
Al1Au1_MgIn_sym6_41_0,3_Neigh,6,True,True,-3.271
Al1Au1_MgIn_sym11_34_0,3_Neigh,11,False,True,-3.27
Al1Au1_MgIn_sym6_39_0,3_Neigh,6,True,True,-3.265
Al1Au1_MgTl_sym62_5_0,3_Neigh,62,True,True,-3.264
Al1Au1_MgIn_sym8_10_0,3_Neigh,8,True,True,-3.264
Al1Au1_MgIn_sym38_15_0,3_Neigh,38,True,True,-3.26
Al1Au1_MgIn_sym38_1_0,3_Neigh,38,True,True,-3.26
Al1Au1_MgIn_sym38_6_0,3_Neigh,38,True,True,-3.259
Al1Au1_MgTl_sym59_4_0,3_Neigh,59,True,True,-3.256
Al1Au1_MgIn_sym187_26_0,3_Neigh,187,False,False,-3.256
Al1Au1_MgIn_sym38_20_0,3_Neigh,38,True,True,-3.255
Al1Au1_MgIn_sym187_12_0,3_Neigh,187,False,False,-3.255
Al1Au1_MgIn_sym59_47_0,3_Neigh,59,True,True,-3.254
Al1Au1_MgIn_sym25_50_0,3_Neigh,25,True,True,-3.251
Al1Au1_MgIn_sym38_0_0,3_Neigh,38,True,True,-3.249
Al1Au1_MgTl_sym221_0_0,3_Neigh,221,False,False,-3.247
Al1Au1_MgIn_sym187_42_0,3_Neigh,187,False,True,-3.246
Al1Au1_MgIn_sym59_36_0,3_Neigh,59,True,True,-3.245
Al1Au1_MgIn_sym11_49_0,3_Neigh,11,False,True,-3.243
Al1Au1_MgIn_sym8_11_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym8_25_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym8_18_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym57_33_0,3_Neigh,57,True,True,-3.241
Al1Au1_MgIn_sym8_4_0,3_Neigh,8,True,True,-3.24
Al1Au1_MgTl_sym59_3_0,3_Neigh,59,True,True,-3.232
Al1Au1_MgIn_sym38_14_0,3_Neigh,38,True,True,-3.231
Al1Au1_MgIn_sym38_21_0,3_Neigh,38,True,True,-3.229
Al1Au1_MgIn_sym38_7_0,3_Neigh,38,True,True,-3.229
Al1Au1_MgTl_sym51_6_0,3_Neigh,51,False,False,-3.223
Al1Au1_MgTl_sym187_9_0,3_Neigh,187,False,False,-3.215
Al1Au1_MgTl_sym166_2_0,3_Neigh,166,False,False,-3.213
Al1Au1_MgIn_sym59_44_0,3_Neigh,59,True,True,-3.207
Al1Au1_AlCu_sym191_8_0,2_Neigh,191,True,True,-3.207
Al1Au1_MgIn_sym156_8_0,3_Neigh,156,True,True,-3.197
Al1Au1_MgIn_sym156_22_0,3_Neigh,156,True,True,-3.195
Al1Au1_MgTl_sym221_1_0,3_Neigh,221,False,False,-3.192
Al1Au1_MgTl_sym187_7_0,3_Neigh,187,False,False,-3.181
Al1Au1_MgIn_sym164_13_0,3_Neigh,164,True,True,-3.177
Al1Au1_MgIn_sym164_27_0,3_Neigh,164,True,True,-3.17
Al1Au1_MgIn_sym187_16_0,3_Neigh,187,False,True,-3.125
Al1Au1_MgIn_sym187_2_0,3_Neigh,187,False,True,-3.123
